player_display_name,position,team,production_score,2026_opponent_def_rating,predictions_2026
Amon-Ra St. Brown,WR,DET,324.0,18.0,333.5
Kyle Pitts,TE,ATL,210.8,17.058823529411764,218.35
Trevor Lawrence,QB,JAX,359.56,17.705882352941178,385.33
Mac Jones,QB,SF,132.89999999999998,16.235294117647058,131.22
Travis Etienne,RB,JAX,276.5,17.705882352941178,297.2
Elijah Moore,WR,BUF,28.6,15.323529411764707,26.37
Elijah Moore,WR,DEN,1.4,14.735294117647058,1.05
Trey Sermon,RB,PIT,0.0,15.588235294117647,0.14
Josh Palmer,WR,BUF,52.3,15.323529411764707,48.61
Javonte Williams,RB,DAL,244.8,16.676470588235293,246.45
Hunter Long,TE,JAX,32.5,17.705882352941178,35.37
Tommy Tremble,TE,CAR,69.1,15.352941176470589,64.67
Trey Lance,QB,LAC,15.54,14.029411764705882,13.39
Zach Wilson,QB,MIA,1.38,15.529411764705882,1.32
Sal Cannella,TE,CLE,3.1,20.058823529411764,4.18
Nikola Kalinic,TE,CHI,0.0,13.823529411764707,-0.16
Tyler Badie,RB,DEN,37.5,14.735294117647058,34.16
Grant Calcaterra,TE,PHI,22.6,20.205882352941178,25.02
Dareke Young,WR,SEA,6.8,17.176470588235293,7.15
Samori Toure,WR,NO,1.3,19.41176470588235,2.19
Jake Tonges,TE,SF,106.6,16.235294117647058,107.28
Tyler Goodson,RB,IND,5.2,16.58823529411765,4.99
Britain Covey,WR,PHI,4.0,20.205882352941178,5.34
Bam Knight,RB,ARI,92.9,15.470588235294118,87.34
Isiah Pacheco,RB,KC,87.30000000000001,16.147058823529413,86.46
Jaylen Warren,RB,PIT,222.8,15.588235294117647,209.16
Kevin Austin Jr.,WR,NO,33.0,19.41176470588235,39.81
Drake London,WR,ATL,201.9,17.058823529411764,205.13
Chris Olave,WR,NO,268.0,19.41176470588235,309.23
Jameson Williams,WR,DET,219.9,18.0,240.1
George Pickens,WR,DAL,289.9,16.676470588235293,289.09
James Cook,RB,BUF,323.4,15.323529411764707,299.74
Greg Dulcich,TE,MIA,64.8,15.529411764705882,61.54
Rachaad White,RB,TB,143.0,17.61764705882353,155.74
Dameon Pierce,RB,HOU,2.6,18.529411764705884,3.3
Dameon Pierce,RB,KC,1.0,16.147058823529413,0.98
Khalil Shakir,WR,BUF,203.1,15.323529411764707,189.31
Tyler Allgeier,RB,ATL,123.0,17.058823529411764,127.45
Jerome Ford,RB,CLE,43.6,20.058823529411764,50.95
Ty Chandler,RB,MIN,8.8,18.470588235294116,9.65
Teagan Quitoriano,TE,ATL,0.0,17.058823529411764,0.13
James Mitchell,TE,CAR,5.8,15.352941176470589,6.45
Jalen Nailor,WR,MIN,98.7,18.470588235294116,109.2
Andrew Ogletree,TE,IND,12.7,16.58823529411765,13.28
Connor Heyward,TE,PIT,27.4,15.588235294117647,26.66
John FitzPatrick,TE,GB,25.2,17.38235294117647,26.49
Ko Kieft,TE,TB,0.0,17.61764705882353,0.24
Chris Oladokun,QB,KC,13.2,16.147058823529413,13.56
Brittain Brown,RB,CHI,9.7,13.823529411764707,7.71
Zaire Mitchell-Paden,TE,BAL,1.3,17.88235294117647,1.56
Zaire Mitchell-Paden,TE,NO,2.4,19.41176470588235,3.41
Tanner Conner,TE,MIA,18.1,15.529411764705882,17.5
Kaden Davis,WR,CLE,0.0,20.058823529411764,0.61
Stone Smartt,TE,NYJ,12.2,15.117647058823529,10.96
Deven Thompkins,WR,ATL,6.2,17.058823529411764,6.71
Tay Martin,WR,WAS,4.3,17.676470588235293,4.59
Jordan Mason,RB,MIN,128.89999999999998,18.470588235294116,143.22
Lucas Krull,TE,DEN,3.5,14.735294117647058,3.2
Rashid Shaheed,WR,NO,106.4,19.41176470588235,122.49
Rashid Shaheed,WR,SEA,53.2,17.176470588235293,53.47
Ronnie Rivers,RB,LA,4.6,15.411764705882353,4.05
Malik Davis,RB,DAL,40.6,16.676470588235293,39.5
Julius Chestnut,RB,TEN,4.0,18.176470588235293,4.53
John Metchie III,WR,NYJ,66.1,15.117647058823529,60.03
John Metchie III,WR,PHI,5.8,20.205882352941178,7.8
Hassan Haskins,RB,LAC,10.0,14.029411764705882,7.8
Tucker Fisk,TE,LAC,8.1,14.029411764705882,6.63
Alec Pierce,WR,IND,183.3,16.58823529411765,186.49
Jalen Tolbert,WR,DAL,44.3,16.676470588235293,42.95
Garrett Wilson,WR,NYJ,99.5,15.117647058823529,92.23
Jahan Dotson,WR,PHI,50.2,20.205882352941178,57.28
Treylon Burks,WR,WAS,29.0,17.676470588235293,28.4
Trey McBride,TE,ARI,315.9,15.470588235294118,299.47
Velus Jones Jr.,RB,NO,0.0,19.41176470588235,0.6
Velus Jones Jr.,RB,SEA,4.2,17.176470588235293,4.25
Brian Robinson,RB,SF,64.19999999999999,16.235294117647058,62.76
Jelani Woods,TE,NYJ,1.4,15.117647058823529,1.17
KaVontae Turpin,WR,DAL,84.5,16.676470588235293,87.79
Jeremy Ruckert,TE,NYJ,46.9,15.117647058823529,41.58
Chig Okonkwo,TE,TEN,124.0,18.176470588235293,135.02
Romeo Doubs,WR,GB,189.8,17.38235294117647,199.57
Brock Purdy,QB,SF,203.56,16.235294117647058,198.3
Calvin Austin III,WR,PIT,90.0,15.588235294117647,86.05
Isaiah Likely,TE,BAL,63.7,17.88235294117647,67.59
Kyren Williams,RB,LA,320.6,15.411764705882353,299.74
Zamir White,RB,LV,9.6,13.205882352941176,7.47
Jake Ferguson,TE,DAL,190.1,16.676470588235293,193.37
Charlie Kolar,TE,BAL,36.2,17.88235294117647,39.69
Skyy Moore,WR,SF,15.1,16.235294117647058,14.83
Kenny Pickett,QB,LV,7.719999999999999,13.205882352941176,6.3
Tyquan Thornton,WR,KC,80.8,16.147058823529413,77.42
Daniel Bellinger,TE,NYG,59.6,17.558823529411764,64.25
Wan'Dale Robinson,WR,NYG,217.9,17.558823529411764,230.83
Breece Hall,RB,NYJ,207.66,15.117647058823529,188.01
Christian Watson,WR,GB,145.0,17.38235294117647,153.88
Malik Willis,QB,GB,51.18,17.38235294117647,53.12
Cade Otton,TE,TB,122.2,17.61764705882353,130.12
Kenneth Walker III,RB,SEA,266.6,17.176470588235293,280.85
Xavier Smith,WR,LA,48.3,15.411764705882353,45.39
Dontayvion Wicks,WR,GB,75.80000000000001,17.38235294117647,82.62
